Gene1	Gene2	ISORIGINAL
PD-1	OX40L	Original
CD27	PD-1	Original
CTLA4	OX40L	Original
CD40	CD28	Original
CD86	OX40L	Original
CD28	CD86	Original
CD80	CD137L	Original
PDL-1	VISTA	Original
CD86	TIM-3	Original
CD40	PD-1	Original
CD86	CD200	Original
CD40	CD80	Original
CD28	CD276	Original
CD40	PDL-1	Original
HVEM	CD86	Original
PDCD1	TNFSF4	GeneName
CD27	PDCD1	GeneName
CTLA4	TNFSF4	GeneName
CD40	CD28	GeneName
CD86	TNFSF4	GeneName
CD28	CD86	GeneName
CD80	TNFSF9	GeneName
CD274	C10orf54	GeneName
CD86	HAVCR2	GeneName
CD40	PDCD1	GeneName
CD86	CD200	GeneName
CD40	CD80	GeneName
CD28	CD276	GeneName
CD40	CD274	GeneName
TNFRSF14	CD86	GeneName
